judge,pair,n,mean_sum,std_sum,mean_l1_from_11,corr,pval
gemma_27b,verbose/terse,160,12.4188,2.6374,2.2562,-0.1432,0.0708
gemma_27b,formal/casual,160,14.9312,1.8101,4.0062,-0.2106,0.0075
gemma_27b,warm/cold,160,13.3125,3.3301,3.2875,-0.088,0.2687
gemma_27b,serious/playful,160,9.925,1.527,1.3125,-0.4182,0.0
gemma_27b,objective/subjective,160,15.6625,2.6853,4.8875,0.1729,0.0288
gemma_27b,structured/unstructured,160,14.725,3.0269,4.05,-0.0125,0.8753
gemma_27b,overall,960,13.4958,3.2207,3.3,,
glm_4_5_air,verbose/terse,160,7.8562,2.444,3.3188,-0.4128,0.0
glm_4_5_air,formal/casual,160,10.1312,2.1364,1.8188,-0.5647,0.0
glm_4_5_air,warm/cold,160,10.2438,2.8367,2.1562,-0.3567,0.0
glm_4_5_air,serious/playful,160,8.5875,2.0137,2.4375,-0.5549,0.0
glm_4_5_air,objective/subjective,160,11.6125,2.7883,1.9625,-0.5027,0.0
glm_4_5_air,structured/unstructured,160,9.7938,2.1797,1.9312,-0.2923,0.0002
glm_4_5_air,overall,960,9.7042,2.7065,2.2708,,
gpt_oss_120b,verbose/terse,160,10.5438,1.7495,1.2688,-0.6185,0.0
gpt_oss_120b,formal/casual,160,11.6188,1.7098,1.3438,-0.5839,0.0
gpt_oss_120b,warm/cold,160,11.4438,1.9129,1.5812,-0.7321,0.0
gpt_oss_120b,serious/playful,160,10.4312,1.2481,0.8812,-0.6104,0.0
gpt_oss_120b,objective/subjective,160,10.7812,2.0361,1.3562,-0.6875,0.0
gpt_oss_120b,structured/unstructured,160,11.575,2.1724,1.75,-0.7648,0.0
gpt_oss_120b,overall,960,11.0656,1.8943,1.3635,,
gpt_oss_20b,verbose/terse,160,11.2,1.971,1.55,-0.5882,0.0
gpt_oss_20b,formal/casual,160,11.8375,2.4287,1.975,-0.4191,0.0
gpt_oss_20b,warm/cold,160,12.4562,2.7655,2.5062,-0.4628,0.0
gpt_oss_20b,serious/playful,160,10.3062,1.5732,1.1688,-0.4342,0.0
gpt_oss_20b,objective/subjective,160,11.55,2.5219,1.825,-0.5951,0.0
gpt_oss_20b,structured/unstructured,160,11.7688,2.6768,2.1312,-0.6386,0.0
gpt_oss_20b,overall,960,11.5198,2.4511,1.8594,,
minimax_2_5,verbose/terse,160,8.6188,2.3608,2.7812,-0.3508,0.0
minimax_2_5,formal/casual,160,8.6562,2.0647,2.6188,-0.5246,0.0
minimax_2_5,warm/cold,160,8.875,2.6238,2.7625,-0.395,0.0
minimax_2_5,serious/playful,160,10.1938,1.8891,1.2438,-0.4065,0.0
minimax_2_5,objective/subjective,160,10.3188,3.167,2.4062,-0.3218,0.0
minimax_2_5,structured/unstructured,160,10.625,2.7174,2.025,-0.5079,0.0
minimax_2_5,overall,960,9.5479,2.6453,2.3062,,
phi_4,verbose/terse,160,11.15,2.7731,2.1,-0.2829,0.0003
phi_4,formal/casual,160,9.1125,3.2035,2.8125,-0.2073,0.0085
phi_4,warm/cold,160,4.8125,2.9648,6.3375,0.0064,0.9356
phi_4,serious/playful,160,8.1312,2.4853,2.9938,-0.4185,0.0
phi_4,objective/subjective,160,13.675,3.276,3.3875,-0.0545,0.4936
phi_4,structured/unstructured,160,12.8438,3.5943,3.1438,-0.0399,0.6167
phi_4,overall,960,9.9542,4.2946,3.4625,,
phi_4_weighted,verbose/terse,160,10.0087,1.4395,1.2752,-0.553,0.0
phi_4_weighted,formal/casual,160,8.7163,2.1257,2.4292,-0.3639,0.0
phi_4_weighted,warm/cold,160,4.0739,2.0227,6.9261,-0.0457,0.566
phi_4_weighted,serious/playful,160,7.5529,1.5859,3.4687,-0.5816,0.0
phi_4_weighted,objective/subjective,160,12.538,1.4513,1.5891,-0.6382,0.0
phi_4_weighted,structured/unstructured,160,11.718,1.1585,1.0418,-0.3622,0.0
phi_4_weighted,overall,960,9.1013,3.2647,2.7883,,
qwen3_5_27b,verbose/terse,160,8.1875,2.0316,2.9,-0.4975,0.0
qwen3_5_27b,formal/casual,160,10.575,1.6528,1.1,-0.7124,0.0
qwen3_5_27b,warm/cold,160,9.1,2.0193,2.275,-0.7081,0.0
qwen3_5_27b,serious/playful,160,10.7312,1.3817,0.7062,-0.556,0.0
qwen3_5_27b,objective/subjective,160,10.8938,2.3733,1.4312,-0.7209,0.0
qwen3_5_27b,structured/unstructured,160,10.6062,2.3294,1.6188,-0.5668,0.0
qwen3_5_27b,overall,960,10.0156,2.2372,1.6719,,
qwen3_5_27b_weighted,verbose/terse,160,8.4953,1.3789,2.5213,-0.6476,0.0
qwen3_5_27b_weighted,formal/casual,160,11.5101,1.6537,1.3751,-0.6222,0.0
qwen3_5_27b_weighted,warm/cold,160,11.3147,1.648,1.2523,-0.5916,0.0
qwen3_5_27b_weighted,serious/playful,160,10.8571,1.0415,0.6655,-0.7465,0.0
qwen3_5_27b_weighted,objective/subjective,160,11.5574,1.698,1.2928,-0.6722,0.0
qwen3_5_27b_weighted,structured/unstructured,160,12.1219,1.1818,1.2811,-0.7469,0.0
qwen3_5_27b_weighted,overall,960,10.9761,1.8679,1.398,,
qwen3_5_35ba3b,verbose/terse,160,7.3438,2.4547,3.7062,-0.4011,0.0
qwen3_5_35ba3b,formal/casual,160,9.875,1.955,1.55,-0.6884,0.0
qwen3_5_35ba3b,warm/cold,160,8.8562,2.1588,2.4438,-0.7269,0.0
qwen3_5_35ba3b,serious/playful,160,10.7438,1.384,0.5688,-0.5133,0.0
qwen3_5_35ba3b,objective/subjective,160,11.8875,2.8284,1.8,-0.6464,0.0
qwen3_5_35ba3b,structured/unstructured,160,12.9688,3.2852,2.5562,-0.6817,0.0
qwen3_5_35ba3b,overall,960,10.2792,3.0566,2.1042,,
step_3_5_flash,verbose/terse,160,7.15,2.7253,4.0625,-0.3825,0.0
step_3_5_flash,formal/casual,160,10.3875,2.5956,1.8,-0.5964,0.0
step_3_5_flash,warm/cold,160,10.45,3.1836,2.2875,-0.5208,0.0
step_3_5_flash,serious/playful,160,10.2938,1.7699,0.8312,-0.5714,0.0
step_3_5_flash,objective/subjective,160,11.8188,3.0122,1.6562,-0.5786,0.0
step_3_5_flash,structured/unstructured,160,12.3188,3.4774,2.1688,-0.1995,0.0114
step_3_5_flash,overall,960,10.4031,3.2881,2.1344,,
